videoId,positive_comments,negative_comments,neutral_comments
vlDfNOa1HTw,12,2,71
DT-v-OZSplA,28,2,57
jVpqksi1JWI,10,0,212
KGkEHt9P7sw,26,5,359
1Vc84T7BD-c,8,4,41
K8wV5JAuKWo,164,20,308
WwSTBwVMbO0,1,0,156
nbJeoNn07DA,14,1,49
jpPZnCJ3o7E,4,1,76
icwdHh3Ks4E,12,1,68
CP-wLi4ZYSE,4,2,46
t2TUARmy0l8,71,10,37
7nRzRSXFbqg,65,30,297
NM5GHAJiuAc,109,23,57
Q5cjGD_diSQ,84,30,192
PRm9KjR_vnQ,15,2,71
rFbkp89Jhc4,26,3,88
dCdMa-t0RIM,6,16,63
K75x1CD_LH0,19,11,68
is-7c43n7RM,66,15,35
aHeF2WLtLv0,3,5,61
cEVSsMtlY1I,15,2,112
osMGCu_pd_w,14,1,65
IumSwdNHfWw,88,10,144
VVNpGYd26jE,6,4,79
g3sdZx_sOg0,29,0,39
7QSM6vhXMiw,3,1,63
GN_ABqqb7bo,51,13,115
1mEn0u35hKM,22,5,62
ziEdQCGQv5A,31,4,43
n5CCbfvXkI8,62,14,138
LIOyXmzy7qs,6,1,127
G9lpuup4PMY,31,4,112
OsusjYZQ8yM,20,11,79
PeeC_ixAdpI,99,15,88
HpboSsNZV4Y,6,1,133
RiRYnvzO-yU,5,1,70
ajRjcsj2yLs,54,28,149
vqhlBQHnXEI,6,0,75
vLxmj3ZoMxQ,8,5,61
weDlGszkxvk,7,3,52
ZZ4Odp2bGzk,7,1,96
T1SiSnbwiAI,49,3,48
a4W3zucSRg4,21,1,35
iAgtlV7mjko,9,5,65
FUNuFL_77BU,6,0,63
Cp-6FJYdl28,35,15,77
KkyR57a3M6c,2,0,76
MfvyrhP_hxs,43,9,84
6DowCBt-Wmw,14,0,195
QvXMt_CFAqg,37,1,122
jcwagGAJHyQ,43,13,103
xz5XOsL63GM,11,5,82
kp9sMdhpczg,5,1,191
vjvaiXj96Gk,17,8,200
zgplPGq8mMk,8,1,131
xYH61NkCV64,49,7,138
ITzEdftH57Q,32,5,16
h2WE3rKMJ7Y,21,2,80
fbi-TzktZQQ,401,28,118
aE26EtCSXzY,34,5,75
uswtK4TVJx8,20,4,42
kr98CjPWt5c,19,6,173
t8y0egLSuJ4,6,1,52
eOq8QFs4KIw,79,14,38
