videoId,positive_comments,negative_comments,neutral_comments
4yyiY9MzXXM,69,23,362
PaBvOZLrud8,7,3,134
Wy1Q9kGjeNo,0,0,119
Ql4WHzjrNNo,22,4,106
EeEJyi5KnC0,107,16,37
XKpegY8urJw,2,0,163
jos-IMROVuU,135,10,79
Z35UXqbMWNw,49,11,61
cu7mvcci7SA,8,1,162
7wNDXsDKoCg,221,10,36
V5J2JU91fh4,15,9,152
63M3CXvwnfI,7,1,75
BS7ZQUjiHEo,1,0,186
oajotit-fF8,8,5,55
FOliKvfOaIg,162,16,124
JZoTerYv0Es,89,19,36
rC1BctE96Pw,10,1,85
lPR2oTmZTWg,22,3,64
rdW5NVdLPGg,110,33,94
3EXSbVY6jqk,33,8,21
WIqz3wuRsEs,55,12,35
AoI5eFXZpRM,13,4,69
-hVd9nw40ak,15,11,188
632L3J-61Bs,18,4,74
0HjWKY03Jro,6,1,118
zmEtynqZBqk,40,3,13
WDJQcrCo3AY,15,2,35
cX6WTdnIWtc,38,10,11
q7EKIlZ8Gyo,8,2,103
HhH8DKokFSQ,110,16,44
FjpDMFjFskQ,21,1,114
GXIsu2GLeHI,112,36,67
hsNfqeyEBsA,27,6,36
B8lVc3yGJ78,18,10,84
kA_A-IhuRzg,0,0,73
kSxAgfLpmwo,19,5,190
dVm2FbvzECw,67,8,48
7UpFjTyFP4U,14,4,42
ikNKp-HWvi0,35,6,59
Jl8HF8-XB4o,15,2,60
isDwRQeXgcE,4,1,54
8M5clcTcczM,201,23,182
bxMybK7_TM8,65,12,24
d42RZdchZe4,65,13,58
8Bxll1xFrU8,3,1,100
FGN2vxSThMs,3,1,60
NfZozaVhqKs,38,7,115
oGQFamF3oJ0,4,1,73
RMT1YkDa4ww,16,1,162
nwp5Iv85pj8,3,0,121
jgjLWCgrhXc,85,6,51
0UfJFQHq4KA,36,8,27
sRDCwAMooXY,22,13,20
8fTS_dDc8fk,63,15,16
fxxPEapuG4s,13,11,81
lse6uVcoyd4,11,5,132
