videoId,positive_comments,negative_comments,neutral_comments
PwLHVKo2POo,0,0,71
j8U8wPe0nII,28,4,127
3xYcXiYyOgI,20,6,140
p2-DXFfF9Ig,12,0,69
WV6h345sJ_8,1,0,56
UlXJuwoYazU,12,22,127
c2DU_41L284,68,11,40
IeXQjRIRhaE,13,9,112
m8A061AIbUU,18,4,130
2lear60rZRo,23,3,89
VQ0HPc-WRw4,3,0,80
DkyAFpNx644,72,13,58
mw4tVy78uqM,1,0,58
0RcjLaK9o_k,1,0,83
UGWRVjFPT_8,62,13,120
ntS_06IRoLY,59,8,27
KaH9Ca3oL0s,10,1,50
YPgDpp8jG7g,73,25,53
JAlssw9epI0,31,10,42
4qUBYoAMC68,6,0,72
9znxvyojSPQ,7,6,59
NVbTcuGMe2I,21,2,104
7jYlNg049JI,21,3,71
FYCdYVb8gBE,17,5,30
zRMETdfmzB0,58,11,33
4zifHx5bNEU,32,12,29
esXDdp888q4,3,0,109
bLzpFd2DvQ0,18,6,42
x_0Vg0vNLsk,16,8,137
_o9xbsBJBqk,18,12,134
e0S9mi44gwk,24,5,52
RY68drLdHlA,24,0,59
GBGhylNL92E,110,10,32
t46QFSlNvag,14,4,78
zirGHgNpzmc,83,14,38
iQqCkoMqx28,8,0,63
CkkAQ1WPepg,71,21,62
RMf9BO3S1tw,7,5,86
DyBQPcglePo,105,16,31
lmuP7KWfHwY,0,0,73
UOg60V3YCBY,83,15,100
dWkNc7j-EzM,15,9,112
HOFkdSHSnUc,50,3,104
fZH67YGR-7c,35,8,16
oA7EidmgXF8,56,17,37
gzauIJKu9Dw,11,4,37
TBKVPwfc29o,22,4,33
XGB3gRIlG0M,10,2,53
3vkGn0L8gEI,13,2,315
PZfWkspbthY,6,4,51
ijz7KMv4BX4,8,4,85
Bq2uWIX1ajE,81,7,25
VoL1H7U-QUY,10,2,91
a6ihIzD7nyg,134,26,74
KH6_-GHDmqc,81,27,56
O_7dw0SpMdU,8,2,45
JnW_aOB_3fs,22,2,74
uuMepdE0wAQ,1,1,69
CKeLB4CayWM,58,4,43
I77YkKbLqMw,1,0,58
hBsb2clCwnY,30,9,53
txW9DgIxHo4,11,9,60
v2N_slwNqxU,39,10,19
J9rt7gR9btg,84,11,62
UMZItNod5lk,60,14,45
