videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,stock_price_before,stock_date_before,stock_price_after,stock_date_after
ZX92ZfJwW_U,BlackPods Pro и Точная Копия Apple Airpods Pro с Алиэкспресс!,UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2020-03-11,353638,13031,496,608,118404053,753000,757,70.31636810302734,2020-03-10,62.31230926513672,2020-03-17
dK3WgJhbgfY,Это Лучшие Беспроводные Наушники Вкладыши! Vivo TWS Уделали Apple Airpods,UCZOINootuIq8tmgEY5Znj0g,РасПаковка ДваПаковка,2020-07-02,349824,15621,482,1554,118404053,753000,757,90.7071762084961,2020-07-01,95.00699615478516,2020-07-08
bzauyDutbNY,Samsung Galaxy Buds (Black) vs Apple AirPods Pro (Not Black),UCwOCcE4enBgo4DenWHv0JYA,Shane Symonds,2019-11-13,639267,8997,317,2082,35807829,145000,116,64.4019775390625,2019-11-12,65.46650695800781,2019-11-19
_aS2Arxhcgs,RECENSIONE Apple AirPods auricolari wireless!,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2016-12-18,639642,14310,252,943,434798217,1080000,2471,27.235361099243164,2016-12-16,27.36452674865723,2016-12-23
1yVPJVtLr0w,Recensione AIRPODS PRO APPLE e CONFRONTO AirPods normali. TEST anche su ANDROID,UC5yXB_ThsufRJYMRlzIGoeQ,andreagaleazzi.com,2019-11-05,538002,14117,242,783,434798217,1080000,2471,63.116004943847656,2019-11-04,64.46099090576172,2019-11-11
8kLLnsCjeYc,Apple AirPod Pro Must Have Accessories!,UClQQoervgLHV2pAOxHJ16NA,HotshotTek,2019-12-23,637823,8517,939,294,47507434,127000,543,68.69938659667969,2019-12-20,71.24635314941406,2019-12-27
Noq0z5ACPQI,So sánh tai nghe Galaxy Buds và Apple Airpods,UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,2019-03-15,619558,6856,299,459,857575882,2000000,4689,44.69163131713867,2019-03-14,47.45490646362305,2019-03-21
hkoWCX8sQf4,AirPods Max 🎧 Unboxing and First Impressions!,UCey_c7U86mJGz1VJWH5CYPA,iJustine,2020-12-10,625654,33771,3105,4322,1242679012,6810000,1984,,,,
AYdyBdQvAJE,How to customize the settings on your AirPods or AirPods Pro - Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2020-01-28,613447,9287,268,522,55309626,734000,263,75.95431518554688,2020-01-27,75.88301849365234,2020-02-03
JIhEgcypQQg,How to connect AirPods to your iPhone or Android device - Apple Support,UCYFQ33UIPERYx8-ZHucZbDA,Apple Support,2020-01-28,330161,3070,118,236,55309626,734000,263,75.95431518554688,2020-01-27,75.88301849365234,2020-02-03
