videoId,title,channelId,channelTitle,Date,videoViewCount,likeCount,dislikeCount,commentCount,channelViewCount,subscriberCount,videoCount,positive_comments,negative_comments,neutral_comments,stock_price_before,stock_date_before,stock_price_after,stock_date_after
4GT-IciL6eo,DEI UM IPAD DE PRESENTE PARA MINHA IRMAZINHA ELA SE EMOCIONOU! - ESPECIAL DIA DAS CRIANÇAS!,UC6paX0kLA8D81aYogceMufw,Rafa & Luiz,2020-10-12,605990,78405,1749,11095,4272816671,14400000,1271,21,14,883,116.76854705810548,2020-10-09,118.81501007080078,2020-10-16
iNbTKOaOl4A,iPad tá mais barato que nunca!!  | Ipad 6 geração ( 2018 ) - Unboxing,UCDUdvPnNWjQCif_GnrhUE6Q,EscolhaSegura,2018-05-22,582332,22232,423,1403,229425983,1630000,1111,17,3,279,45.12910079956055,2018-05-21,45.35759353637695,2018-05-25
EMwrJjyKzR4,New iPad Air (2020) review,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-10-21,572006,12701,407,777,872571105,3070000,3947,203,73,207,117.3076171875,2020-10-20,116.39917755126952,2020-10-27
vZtOl2f8SYc,"iPad 2020 review: here we go again, again",UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,2020-09-23,508533,13031,604,998,872571105,3070000,3947,306,78,244,111.617431640625,2020-09-22,113.89350128173828,2020-09-29
ZXZXF1eUE9M,MARCOS GANHOU UM TABLET NOVO iPAD APPLE - Família Brancoala,UC0otZdGYsA9KqVKAcn2peQA,Brancoala,2020-10-26,564248,19446,670,543,5504047637,8250000,1280,28,3,381,114.84187316894531,2020-10-23,108.67251586914062,2020-10-30
c4iE85aDlEA,รีวิว iPad Pro 2020 ตัวใหม่! ลองใช้แล้วกรี๊สหนักมากกก😱Peanut Butter,UC1A70xg7qyQycQs8-pz8A6Q,Peanut Butter,2020-05-30,544170,14343,133,810,43312940,517000,139,14,0,511,79.2052993774414,2020-05-29,82.5833740234375,2020-06-05
LtcOMY4Fjbo,✏️5 Apps จดโน้ตฟรีบน iPad! ดีแบบนี้ไม่ต้องเสียเงินแล้วว | Peanut Butter,UC1A70xg7qyQycQs8-pz8A6Q,Peanut Butter,2020-09-12,285693,15480,71,563,43312940,517000,139,8,0,355,111.8071060180664,2020-09-11,106.65599060058594,2020-09-18
S7wF50idKQA,iPad mini 5 效能提升價格不變！一週使用心得 ( iPad Air / iPad mini 5/ iPad 差在哪一起告訴你！,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,2019-05-29,536186,4320,188,456,129590622,809000,1850,3,0,161,43.52073287963867,2019-05-28,43.865028381347656,2019-06-04
G8sxhyvp2FY,จะซื้อ iPad เลือกรุ่นไหนดี!? | LDA เฟื่องลดา,UCsHwsZfCeCngX_EIE5Bioow,LDA World,2019-12-18,536363,11706,137,293,118264178,888000,974,3,0,117,68.93785095214844,2019-12-17,69.88681793212889,2019-12-24
YnkywNfcSys,รีวิว iPad Air 4 เหมือน iPad Pro ขนาดนี้ จะยังน่าซื้ออยู่มั้ย?🤔 | LDA World,UCsHwsZfCeCngX_EIE5Bioow,LDA World,2020-10-30,168222,4061,60,206,118264178,888000,974,2,0,139,115.1213836669922,2020-10-29,118.8249969482422,2020-11-05
iuPmU3Q9slA,King Of Gun Game🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #9,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-21,580515,24645,1215,754,18028555,162000,165,163,46,316,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
0K-jHwDHC_s,BEST TDM PLAYER🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #7,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-19,359719,14075,614,711,18028555,162000,165,135,20,351,118.02999877929688,2020-11-18,116.02999877929688,2020-11-25
Tl_VBgIkhhY,New King Of Gun Game🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #16,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-28,318238,16840,636,721,18028555,162000,165,159,54,310,116.58999633789062,2020-11-27,123.08000183105469,2020-12-02
UzCCRlfN1f4,GOOD BYE 90 FPS ✋🏻😏| TDM iPad Pro 2020 Pars| Pubg Mobile #19,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-12-01,223317,12005,332,646,18028555,162000,165,127,30,285,119.0500030517578,2020-11-30,123.08000183105469,2020-12-02
qE6Y8xKetIE,King Of SNIPER🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #10,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-22,196342,10353,289,480,18028555,162000,165,128,14,178,117.33999633789062,2020-11-20,116.58999633789062,2020-11-27
Y1kxazEWaDw,New AWM Gameplay🔥| iPad Pro 2020 Pars |  4 Finger + Full Gyro | Pubg Mobile #17,UChiy6ot96sIB3RYiuXUCocg,PARS,2020-11-29,102449,5632,205,384,18028555,162000,165,84,18,170,116.58999633789062,2020-11-27,123.08000183105469,2020-12-02
cvKQDyRvOZo,iPad 7th gen unboxing -29000 me best -apple ka bada ipad😎✌️,UCCkXU_pKTN98ktKl0TnHjBg,Ansh Nakwal,2019-12-23,521294,14554,3591,906,36232591,243000,1040,30,10,80,68.69938659667969,2019-12-20,71.24635314941406,2019-12-27
T5BVyLTrt8U,PUBG MOBILE İÇİN EN İYİ CİHAZ HANGİSİ ? İPAD MİNİ 5 VS İPAD 7,UChhvGpaooo0ia0-xKkeKQQA,ZEWO,2020-06-07,501961,25421,1109,4212,48632674,416000,204,14,4,368,82.5833740234375,2020-06-05,84.40194702148438,2020-06-12
ghNXAW-jCKk,ME COMPRO EL NUEVO IPAD AIR 2020 EDICIÓN ESPECIAL CON MI NOMBRE EN ELLA!! || MEJORARÁ MI NIVEL?,UCXFyx8rFQp6L2mua8Vi3CWA,A3 Sag,2020-11-15,496905,56839,468,2577,119006500,1240000,210,57,55,988,119.26000213623048,2020-11-13,117.33999633789062,2020-11-20
RGq7MqTl5sQ,2020 iPad Pro&#39;yu kutudan çıkarttık!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2020-04-17,491463,11469,631,2156,491788342,1420000,5829,47,9,669,70.64904022216797,2020-04-16,67.77567291259766,2020-04-23
V-mvS8P5uoA,2.499 TL fiyatı ile en yeni ve en uygun iPad kutusundan çıkıyor!,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2019-11-28,392726,7943,339,1556,491788342,1420000,5829,3,1,127,65.84756469726561,2019-11-27,64.34789276123047,2019-12-04
X9gHwrm73Vc,iPad Air 4 kutu açılımı! En mantıklısı bu mu?,UCzNu79N8Lq1wUY52MkhWKSA,ShiftDelete.Net,2020-11-02,104196,3366,299,754,491788342,1420000,5829,19,8,398,108.67251586914062,2020-10-30,118.69000244140624,2020-11-06
HFTnFYlB-Nw,IL NUOVO IPAD A 389€ È UN AFFARE!,UCXDorkXBjDsh0wNethPe-zQ,Andrea Bentivegna - BlackGeek,2019-10-14,475103,19142,513,884,149530618,637000,1281,34,16,424,57.89760971069336,2019-10-11,57.946632385253906,2019-10-18
KYkr-wXnRQc,HO COMPRATO I DUE IPAD PRO 2020 - Unboxing &amp; Prime Impressioni!,UCXDorkXBjDsh0wNethPe-zQ,Andrea Bentivegna - BlackGeek,2020-04-04,435620,21366,604,949,149530618,637000,1281,52,27,559,59.49069213867188,2020-04-03,66.04080200195311,2020-04-09
dZnNNQ1LkvM,Samsung Galaxy Tab S6 Lite vs Apple iPad 10.2 Full Comparison ⚡⚡⚡ And The Best Tablet Under 30K Is..,UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,2020-07-25,466124,23546,1553,3123,718080655,6650000,2170,268,59,486,92.28909301757812,2020-07-24,105.8860855102539,2020-07-31
L8QrW8aadI8,iPAD PRO 2020 UNBOXING: IT’S FINALLY WORTH IT!,UCst-F1upPxpie6i_jA6vpRw,Mary Bautista,2020-06-01,452654,12486,382,1891,115583000,1300000,428,229,33,416,79.2052993774414,2020-05-29,82.5833740234375,2020-06-05
e7i4wALiuQk,iPAD 8TH GENERATION: BEST &amp; CHEAPEST TABLET TO BUY RIGHT NOW!,UCst-F1upPxpie6i_jA6vpRw,Mary Bautista,2020-09-28,226360,7672,227,1289,115583000,1300000,428,271,38,596,112.0866241455078,2020-09-25,112.82534790039062,2020-10-02
2hATewE4Q7Q,30 Trucos Para iPad Que No Sabias,UCQBiLYv2BjHwwG3gc-n7JVA,Tech Santos,2020-04-13,447732,18468,233,814,29633766,263000,339,10,1,152,66.04080200195311,2020-04-09,69.69042205810547,2020-04-17
GeAqwQt9T_E,Apple iPad Air 4 (2020) Unboxing &amp; First Look - The Best Pro iPad🔥🔥🔥,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,2020-11-27,470810,46765,1267,6714,2372563249,20200000,3438,345,54,701,116.02999877929688,2020-11-25,123.08000183105469,2020-12-02
5aVotI7t4CI,КУПИЛ APPLE IPAD 2018 И РАЗОЧАРОВАЛСЯ...,UCs2DTZsK_6t6JD-m3yTapxg,DimaViper,2019-01-29,435345,13278,4028,3523,229569493,853000,1503,7,2,511,37.857025146484375,2019-01-28,41.47803115844727,2019-02-04
f3EOUJ9AWnQ,"Hittar en iPad, funkar den? VLOGG",UC04lAYEYR4BiaJkbqArxmRA,THE SWEDISH FAMILY,2020-05-09,432757,5255,266,658,254758369,270000,375,23,2,357,77.25967407226562,2020-05-08,76.65679168701172,2020-05-15
7tS9tft5AUY,GOODNOTES 5 TUTORIAL (für Einsteiger) - iPad für die Uni nutzen (Lernblätter) // JustSayEleanor,UCy6QO3m8cPRqHiK85KxVl9g,JustSayEleanor,2020-05-07,432509,12002,193,447,22986259,126000,329,37,4,134,74.08428192138672,2020-05-06,76.64185333251953,2020-05-13
